cluster,count,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence
0,23183,0.4110377944588707,0.531183798473019,0.5526128426001812,0.1421370746223526,-10.218211232368546,0.08312548850450761,143.30944541258683,0.5432128530388647
1,30108,0.5115571834532351,0.5949828284841238,0.4826751639763518,0.16195777419224128,-11.51025335459014,0.08677338581108011,111.53783589079315,0.5677654580178025
2,14849,0.40539153684288504,0.4675565492625766,0.5646298073270927,0.12711496087278604,-10.167310862684356,0.11997309583136911,167.70097232136843,0.5591256865782207
3,25782,0.6353621047281048,0.47361021255139246,0.36540126022806607,0.19559449407493598,-13.125329377084789,0.11867676673648282,81.30693751454503,0.4354416478201846
4,5774,0.4376276396380326,0.4295376688604088,0.5578187537235885,0.12885445802563214,-9.902674056113613,0.11231771735365433,190.25454624177345,0.6022923830966401
5,30321,0.4741936600092345,0.571792064905511,0.5054136281125293,0.13996511368094722,-10.897545232677022,0.0958046964150259,96.29356624121895,0.5412056953926322
6,32666,0.4503058017231984,0.5941839833465989,0.5225825658788955,0.1537089768594257,-10.780287485458887,0.08969999081613911,126.51968079960815,0.5682486856976673
7,7970,0.8458213189849435,0.38890160602258467,0.19527691496863236,0.42534566374404015,-18.128529987452946,0.1162700878293601,65.83070903387704,0.31850035131744037
