clusters,count,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence
0,24425,0.389258472957216,0.5251341084953941,0.5731231770726715,0.13213612488270216,-9.844514309109519,0.08746396315250768,147.1294302149437,0.5549355181166837
1,29925,0.6993031123542188,0.44981594653299917,0.31441294629908106,0.2595236812140351,-14.531555989974938,0.1191147201336675,76.80115161236424,0.40144849804845445
2,38596,0.4956150803920095,0.5986518551145196,0.4941637423567209,0.1554126973709711,-11.20406775313504,0.08680755000518188,111.64828585863822,0.5685528448543891
3,17404,0.43331552597391404,0.44700567111008965,0.5473339492645369,0.13110790377786716,-10.321171339921857,0.12144375430935418,176.929356412319,0.5679146713399219
4,38950,0.4500119725637997,0.5860746084724006,0.5234806067522465,0.15343914579486523,-10.711366136071888,0.08756292426187419,128.08492675224647,0.5632893421566111
5,37618,0.49739582482933703,0.5548902839066405,0.4855444425594131,0.14523267622148972,-11.131127465574991,0.10128853740230741,94.0697996969536,0.524963927641023
